name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;436;0;581;3213;1110;3213;1110;0
header;284;169;284;206;1863;206;1863;169
B;595;238;595;253;603;253;603;238
A;1079;239;1079;267;1102;267;1102;239
B;947;379;947;395;956;395;956;379
B;1075;960;1075;987;1097;987;1097;960
A;1045;1438;1045;1454;1055;1454;1055;1438
B;1045;1484;1045;1500;1054;1500;1054;1484
C;1069;1629;1069;1657;1090;1657;1090;1629
B;1043;2033;1043;2049;1052;2049;1052;2033
B;792;2126;792;2142;801;2142;801;2126
D;1069;2309;1069;2335;1090;2335;1090;2309
D;539;2487;539;2514;572;2514;572;2487
B;1039;2589;1039;2604;1048;2604;1048;2589
A;900;2803;900;2804;900;2804;900;2803
