name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;730;0;754;3219;1844;3219;1753;0
header;219;159;219;191;1851;191;1851;159
A;1027;246;1027;274;1048;274;1048;246
A;1144;276;1144;291;1152;291;1152;276
B;1490;320;1490;336;1498;336;1498;320
A;1065;456;1065;473;1073;473;1073;456
B;1289;503;1289;517;1298;517;1298;503
B;1150;677;1150;693;1171;693;1171;677
B;1738;733;1738;748;1746;748;1746;733
A;1052;1059;1052;1085;1071;1085;1071;1059
B;1015;1064;1015;1091;1036;1091;1036;1064
A;930;1149;930;1155;935;1155;935;1149
B;1682;1239;1682;1255;1690;1255;1690;1239
A;1295;1499;1295;1500;1295;1500;1295;1499
B;1699;1743;1699;1762;1714;1762;1714;1743
C;1020;1744;1020;1774;1041;1774;1041;1744
A;963;1822;963;1822;963;1822;963;1822
A;936;2118;936;2123;941;2123;941;2118
B;1235;2337;1235;2364;1268;2364;1268;2337
B;1202;2348;1202;2363;1210;2363;1210;2348
D;1019;2420;1019;2446;1040;2446;1040;2420
A;807;2440;807;2455;815;2455;815;2440
B;1191;2532;1191;2547;1199;2547;1199;2532
B;1292;2626;1292;2642;1300;2642;1300;2626
B;1648;2667;1648;2686;1663;2686;1663;2667
A;1098;3019;1098;3019;1099;3019;1099;3019
